GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,default,Animal,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,default,Cat,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,default,instanceofTest,0,41,0,0,0,12,0,3,0,3
JaCoCo Coverage Report,default,InstanceofError,3,4,0,0,1,2,1,1,1,1
JaCoCo Coverage Report,default,Dog,0,3,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,default,Main,27,0,4,0,6,0,4,0,2,0
